歌名,歌手,出现次数
风儿,彭坦,8
风吹麦浪,叶一茜; 李健,8
飞,Matt吕彦良; 潘越云; 王菲,8
EMO,藤竹京,7
一生所爱,卢冠廷; 卢冠廷 / 莫文蔚,7
一颗苹果,五月天,7
二十二,陶喆,7
傻了吧,大张伟,7
儿歌,张悬,7
光,刘惜君; 陈粒,7
出发,纵贯线,7
初恋,五条人; 回春丹; 莫文蔚,7
听海 (live),张学友,7
夜空中最亮的星,逃跑计划,7
带我走,杨丞琳; 脆莓(Brickleberry); 苏打绿; 许美静,7
开始懂了,孙燕姿,7
心要野,后海大鲨鱼,7
我爱你 我的生活,海底时光机,7
明天,69; 杨乃文; 火星电台; 萧亚轩; 野外合作社,7
明天会更好,余天 / 李建复 / 洪荣宏 / 王梦麟 / 费玉清 / 齐秦 / 蔡琴 / 苏芮 / 潘越云 / 甄妮 / 林慧萍 / 王芷蕾 / 黄莺莺 / 陈淑桦 / 娃娃 / 李珮菁 / 齐豫 / 郑怡 / 江蕙 / 杨林; 群星,7
望春风,陶喆,7
梦一场,萧敬腾; 那英,7
水星记,郭顶,7
浮出水面,达达; 达达乐队,7
浮躁,王菲,7
海浪,deca joins; 皇后皮箱; 红白色乐队,7
温暖,许巍; 郑钧,7
灯塔,彭坦; 法兹乐队 FAZI,7
生如夏花,朴树,7
秦皇岛,万能青年旅店,7
空中飞人,窦靖童,7
第一天,孙燕姿,7
红豆,方大同; 王菲,7
艳阳天,窦唯,7
财神到,林子祥; 群星; 许冠杰,7
送春,A公馆,7
雨一直下,张宇,7
雨打风吹去,无边界音乐,7
风儿带着我们飘,彭坦,7
黑夜中 (Live),梁博,7
Hello,Adele; OMFG; 达达乐队; 阿杜; 黄龄,6
I Do,911; 彭坦 / 春晓,6
New Boy,朴树,6
No Fear In My Heart (Live),朴树,6
一万次悲伤 (Live),逃跑计划,6
不了情,徐小凤,6
不想去远方,卢广仲,6
人间,王菲,6
传奇,王菲,6
傲寒,马頔,6
加减乘除,花儿乐队,6
勇气,夏日入侵企画; 张震岳; 梁静茹,6
呜呜,达闻西乐队,6
夜会,王菲,6
夜长梦多,蛙池,6
夜风,浪,6
大雨,deca joins; 李克勤,6
好久不见,陈奕迅,6
完美夏天,高旗&超载乐队,6
宝贝 (In a Day),张悬,6
宝贝 (Live at Blue Note Beijing 2017),火星电台,6
少年故事,彭坦,6
开心电话,窦唯,6
心会跟爱一起走,陈洁仪 / 郭峰,6
怀念,叶蓓; 王菲,6
怎样,戴佩妮,6
我喜欢上你时的内心活动,陈绮贞,6
我愿意(Live),王菲,6
我是一只鱼,任贤齐; 落日飞车,6
旅途,朴树,6
旅途愉快,寸铁,6
日落大道,梁博,6
春去春又回来,周迅,6
春风吹,方大同,6
昨夜我飞向遥远的火星,声音玩具,6
月亮代表我的心,张国荣; 方大同; 邓丽君,6
梦不落,孙燕姿,6
永远都会在,旅行团; 旅行团乐队,6
泪海,狮童; 狮童乐队; 许茹芸,6
流星,王菲; 郑钧,6
深海,刘森,6
爱，很简单,陶喆,6
玫瑰,贰佰,6
目击你刚刚完成这一跳,寸铁,6
结婚,逃跑计划; 风子,6
美错,王菲,6
致某人,达达乐队,6
苏幕遮·碧云天 (i18版),李健 / 幻境工场童声合唱团,6
西湖,痛仰乐队,6
词不达意,林忆莲,6
踮起脚尖爱,洪佩瑜,6
阳光照进回忆里,逃跑计划,6
阳光男孩 阳光女孩,TG4,6
雨天,孙燕姿,6
이 길위에 서서,李英美 / 曺承佑,6
A Winter Story,麗美,5
Barbie Girl,Aqua,5
Bleeding Love,Leona Lewis,5
"Dead In The Water (Live At RTÉ 2FM Studios, Dublin)",Noel Gallagher's High Flying Birds; Noel Gallagher's High Flying Birds / Noel Gallagher,5
Here With Me,d4vd,5
Love Me Tender,Norah Jones,5
PLEASE SET YOURSELF FREE,火星电台,5
Tickle,Eyes Lips Eyes,5
三百六十五个祝福,蔡国庆,5
两个女孩,莫文蔚,5
你快乐(所以我快乐),王菲,5
假期,王菲,5
假若今夜来临2022,超级市场,5
光阴·流年·夏恋,刺猬,5
公路,纵贯线,5
兰州 兰州,低苦艾,5
再来一次,我为歌狂; 达达乐队,5
分手吧,孙盛希; 张震岳,5
刻在我心底的名字,卢广仲,5
北京道落雪了,林二汶,5
叫我第一名,五月天,5
向阳花,谢天笑,5
味道,方大同 / Zion.T / Crush; 辛晓琪,5
喜欢你,Beyond; 何静; 窦唯 / 朝简; 陈洁仪,5
回家,Beyond; 顺子,5
在去而不返以先,海龟先生,5
在星星峡遇暴风雨,无边界音乐,5
夏天的风,温岚,5
夏日颂歌,时间不够以后,5
夜里无星,告五人,5
天天想你,张雨生; 陈绮贞,5
失去爱情的摩托车手,THE BOOTLEGS 靴腿,5
她来听我的演唱会,张学友; 李承铉 / 李云迪 / 梁汉文 / 林晓峰,5
好风 (Live),布衣乐队,5
如果你也想起來,郑宜农,5
安和桥,宋冬野,5
小小的太阳,张宇,5
小茉莉,包美圣; 小娟&山谷里的居民,5
山雀,万能青年旅店,5
幸福花园,周迅,5
广州,Casino Demon; 脆莓(Brickleberry),5
心动,棱镜; 陈洁仪,5
忘不了,王晰; 童安格; 花儿乐队,5
怀念 (Live),王菲,5
恋爱ing,五月天,5
恋爱循环,Miko孙涵,5
情书,旅行团乐队; 腰乐队,5
想你的365天,李玟,5
想在夏日撞见你,囍浪,5
愿赌服输,那英,5
我(国),张国荣,5
我不难过,孙燕姿,5
我也不想这样,徐佳莹; 王菲,5
我们围着火堆舞蹈,时间不够以后,5
我爱洗澡,范晓萱,5
我要杀光浪漫杀死诗,当代电影大师,5
揪心的玩笑与漫长的白日梦,万能青年旅店,5
搁浅的人,康士坦的变化球,5
放漾,A公馆,5
旋转木马,达达乐队,5
普通朋友,陶喆,5
暴雨,达达; 达达乐队,5
朋友,周华健; 无印良品; 温拿乐队; 谭咏麟,5
未来·未来,彭坦,5
树屋,椅子乐团 The Chairs,5
梅雨季,张震岳,5
梦,deca joins; 金玟岐; 面孔乐队,5
梦醒了 (Live),王菲,5
梦里水乡,陈婧霏,5
水开了没,自然卷,5
水手公园,GALA,5
没有人能够比我们更接近对方,声音玩具,5
没有理想的人不伤心,新裤子,5
海鸥,逃跑计划,5
漫步人生路,邓丽君,5
漫漫人生路,好妹妹 / 秦昊 / 张小厚 / 陈粒 / 粒粒 / 焦迈奇 / 王加一 / 陈婧霏; 钟镇涛,5
爱的勇气,赖雅妍,5
生日快乐,yihuik苡慧; 儿童合唱团; 李雪莱; 汪苏泷,5
生日快乐歌,小蓓蕾组合,5
用心良苦,张宇,5
直来直往,孙燕姿,5
盼暖春来,刺猬,5
真爱的力量,巴音孟克 Maj7_Music,5
礼物,浅堤; 老狼 / 汪峰 / 周晓鸥 / 丁武 / 栾树 / 高旗 / 李延亮 / 马上又 / 陈劲; 许巍,5
秋凉,曹方,5
程艾影,赵雷,5
第一次遇见花香的那刻,郑宜农,5
红,告五人; 张国荣,5
约会在星期天晚上,莫非定律MoreFeel,5
脸,王菲,5
致青春,王菲,5
艳火,张悬,5
节日气氛,麦田守望者,5
苍穹,达达乐队,5
苦难精算师,草东没有派对,5
萨拉热窝的罗密欧与朱丽叶(Live),郑秀文,5
蓝宝,卢广仲,5
跟着感觉走,张震岳; 苏芮,5
追光者 (Live),达达乐队 / 椅子乐团 The Chairs,5
逃亡,孙燕姿,5
遗憾 (Live),薛之谦,5
野三坡,王菲,5
阴天,莫文蔚,5
雪人,范晓萱; 范晓萱 / 王力宏,5
骊歌,GALA,5
鲜花,回春丹,5
1999,达达乐队,4
2020,张玮玮,4
Beautifully Deranged,Nova Heart,4
California Dreaming,The Mamas & the Papas,4
Falling You,曾可妮 / 都智文,4
Get Free,Lana Del Rey,4
Hey Jude,The Beatles; 孙燕姿,4
I'd Rather Pretend,Bryant Barnes,4
Jesus Freak Lighter,Blood Orange,4
Merry Christmas Mr. Lawrence,坂本龍一; 押尾コータロー,4
Miss You,花儿乐队,4
Old Mcdonald,Drew's Famous,4
Only You,罗家英,4
PM1767,霓虹花园,4
Photograph / Clair de Lune,Cody Fry,4
Shine On Us,Chace,4
Signal Fire,Snow Patrol,4
Simon,丁世光,4
Small Happiness,麗美,4
Someday,彭坦,4
The Flight,麗美,4
This Is Love (Feels Alright),Camera Obscura,4
Together,Robynn & Kendy,4
Tomorrow will be fine.,Sodagreen; 苏打绿,4
Under the Silver Moon,Thee Marloes,4
why can't i be snowing?,Camping In Alaska,4
パッション･フラワー,細野晴臣 / 鈴木茂 / 山下達郎,4
一万次悲伤,逃跑计划,4
一个人在半路上看月亮,锤娜丽莎,4
一定要相信自己,卢广仲,4
一辈子的孤单,刘若英; 和平和浪,4
七月,王三溥,4
万物盛开法则,大张伟,4
不再犹豫,Beyond,4
不知去向,梁博,4
不要怕&啊杰咯,莫西子诗,4
不说再见,好妹妹; 好妹妹乐队,4
东西,彭坦,4
两者,张悬,4
为你我受冷风吹,林忆莲,4
九月,安来宁; 朴树; 许巍,4
人生浪费指南,夏日入侵企画,4
以自暴自弃的方式出现,陈绮贞 / 马照琪 / 蓝贝芝 / 吴恩琪 / 黄心心,4
你不爱我我就爱别人,Peace Hotel(和平饭店),4
你喜欢不如我喜欢,王菲,4
你终究不爱这世界,傻子与白痴,4
佩奇的夏天,阁楼演奏班,4
依靠,高旗&超载乐队,4
傍晚去太子湾吗,Schoolgirl byebye,4
像风一样自由,许巍,4
克卜勒,HUSH; 孙燕姿,4
八百里洞庭我的家,Fuzz,4
关于我在地铁上莫名其妙干了碗鸡汤这件事儿,孙天宇,4
再去海边,脆莓(Brickleberry),4
再见琳尼尔,新学校废物合唱团,4
冰雨(Live),刘德华,4
冷空气,汉堡黄 / 落日飞车,4
出路,王菲,4
午睡,彭坦 / 春晓,4
南京之声（live）,野外合作社,4
发财发福中国年,中国娃娃,4
只要为你活一天,谢霆锋,4
听海,张惠妹,4
和你在一起,1313 / 民谣俱乐部; 谣子 / 张怡然 / 朱格乐; 陈绮贞,4
嘻唰唰,花儿乐队,4
噢!乖,窦唯,4
回到拉萨,郑钧,4
因为你,方大同,4
坐火车到传说中的湘南海岸,陈绮贞,4
坠机,VITOZ,4
夜夜夜夜 (Live),梁静茹,4
夜太黑,林忆莲,4
夜枕青山,刘森,4
夜海的秘密,昨夜派对（L.N Party）,4
夜游,岛屿心情,4
夜盲,橙草,4
夜莺(Live),吴碧霞,4
夜观江潮记,椿乐队,4
夜雨 Night Rain（杜比全景声）,短跑小说,4
大人中,卢广仲,4
大海,南西肯恩; 张雨生,4
天天想你 (Live),大张伟,4
太空浪子,Joyside,4
太阳照常升起,久石譲; 痛仰乐队,4
夸张,周品,4
好不容易,告五人,4
好日子,宋祖英,4
如果你是假的,王菲,4
如果有一天我变得很有钱,毛不易,4
妈妈,万晓利; 法兹乐队 FAZI; 赵雷; 边远,4
姊妹仔,旺福,4
孤勇者,陈奕迅,4
宁夏,梁静茹,4
安妮,王杰,4
安平之光,イルカポリス 海豚刑警,4
富士山下,陈奕迅,4
寒武纪,王菲,4
小河淌水(云南民歌)(Live),吴碧霞,4
少年维持着烦恼,蛋堡,4
幸运的宝儿,野外合作社,4
当冬夜渐暖,孙燕姿,4
快乐崇拜,张韶涵 / 潘玮柏; 潘玮柏 / 张韶涵,4
快让我在雪地上撒点儿野,崔健,4
忽然之间,莫文蔚,4
想你时风起,单依纯,4
想你的365天 (Live),瓦依那,4
想把我唱给你听,王筝 / 老狼 / 小柯 / 曹方; 老狼 / 王婧,4
慢慢喜欢你,莫文蔚,4
慢慢来,蛋堡,4
我不想一个人跳舞,大粉乐队,4
我们万岁,陈奕迅 / eason and the duo band,4
我可以,蔡旻佑,4
我在纽约打电话给你,魏如萱,4
我想你要走了,张悬,4
我无法克制自己,告五人,4
我用什么把你留住,福禄寿FloruitShow,4
我能CHUA,马飞,4
我赚钱了（完整加强版）,吾酷,4
把钱还给我,王建房,4
掉了,张惠妹,4
无双,达达乐队,4
无名之辈,陈雪燃,4
无状态,张悬,4
日常的镜头,椅子乐团 The Chairs,4
时间门外,哪吒乐队,4
星尘共轨,火星电台,4
春分时的梦,狮童,4
春天花会开,任贤齐,4
晃来晃去的人,焦迈奇,4
晚风,好妹妹 / 小娟&山谷里的居民; 陈婧霏,4
普通的日子,魏如萱,4
暧昧,杨丞琳; 王菲,4
最近比较烦,周华健 / 李宗盛 / 品冠; 李宗盛 / 周华健 / 品冠,4
未来之约在地球上最后的夜晚,鲸鱼马戏团,4
末路,贰伍吸菸所 Smoking Area 25,4
来来回回,陈楚生,4
来自过去的一场大雪,丁可,4
枉凝眉,吴碧霞,4
果实,陈粒,4
梦醒时分,伍佰 & China Blue; 陈淑桦,4
橘子汽水,南拳妈妈; 窦靖童,4
武汉,Chinese Football,4
決定不想你,9m88,4
沙滩+Somewhere Over The Rainbow (Live),陶喆,4
洗澡,坚果乐队,4
流川枫与苍井空,黑撒,4
流非飞,王菲,4
温柔,五月天,4
烟雨凤凰,阿朵,4
热雪,魏晨,4
爱,小虎队; 莫文蔚,4
爱在夏天,告五人,4
爱的初体验,张震岳,4
特别的人,方大同,4
玉珍,福禄寿FloruitShow,4
玩具,岛屿心情,4
理想,赵雷,4
理查,凹与山,4
画意,王菀之,4
白天不懂夜的黑 (Live),火星电台,4
真心不假（笛子剧情版配乐 重制）,韩明峻,4
祝你一路顺风,吴奇隆,4
神仙挡不住人想人,贺国丰,4
离开我,品冠,4
秉烛夜游,海瞳,4
秋,FLOWER FLOWER; 周迅,4
秋意浓,张学友,4
稍息立正站好,范晓萱,4
空,谢霆锋,4
空空,陈粒,4
童话生死恋,花儿乐队,4
笔记,周笔畅,4
米店,张玮玮; 张玮玮 / 郭龙,4
红黑红红黑,黄贯中,4
练习,孙燕姿,4
结果,花儿乐队,4
给郁结的诗,小安,4
美丽人生,岛屿心情,4
美好的事可不可以發生在我身上,康士坦的变化球,4
美梦公司,许钧,4
脸 (Live),王菲,4
花世,海尾巴; 达达乐队,4
落霞挽霓虹,邹沛沛,4
要死就一定要死在你手里,杨坤; 莫西子诗,4
让我们看云去,陈明韶,4
诚实假日酒店,野外合作社,4
谁,小柯 / 老狼; 谢雨欣,4
走建国路回家但后座少ㄌ泥,多多 x 以捷,4
走走停停,高小阳 / 高天祥,4
起风了,买辣椒也用券; 吴青峰,4
还山,无边界音乐,4
这是我一生中最勇敢的瞬间,棱镜,4
迷魂记,王菲,4
追梦赤子心,GALA,4
逆行,谢霆锋,4
野蔷薇(Live),戴佩妮,4
闹海,哪吒乐队,4
隧道口虫鸣夜,动物园钉子户,4
霓虹甜心,马赛克,4
青年物语,海瞳,4
青春,王梵瑞; 筠子,4
风光少年兄,阿跨面,4
飘摇,周迅,4
高速公路,美秀集团,4
鲜花在岸上开,五条人,4
黄金时代,声音碎片乐队; 达达; 达达乐队,4
黎明末班车,王天辰,4
黑白电影,周扬,4
걱정말아요 그대,野菊花,4
"너에게 난, 나에게 넌",미도와 파라솔,4
벚꽃 엔딩,Busker Busker,4
사랑해요,김형섭,4
슈퍼스타,미도와 파라솔,4
응급실,IZI,4
전설,JANNABI,4
08年我们结婚,逃跑计划,3
8+8=8,岛屿心情,3
BIRDS OF A FEATHER,Billie Eilish,3
CATHY (2021 Remaster),当山ひとみ,3
Can't Help Falling in Love,Elvis Presley; Elvis Presley / The Jordanaires,3
Do Not Go Gentle into Goodbyes,Chace,3
Falling Slowly,Glen Hansard / Markéta Irglová,3
Forever Young,朴树; 艾怡良,3
Forever Young (Live),朴树,3
Game Over,彭坦,3
Good Riddance,Green Day,3
He Loves You So,麗美,3
High and Dry,Radiohead,3
I Know You Know I Love You,落日飞车,3
Last Dance,伍佰 & China Blue,3
Let's Start From Here,王若琳,3
Lost Stars,Adam Levine; Keira Knightley,3
Love Song,方大同,3
Lucky,Jason Mraz / Colbie Caillat; Lenka,3
Moonquake,白日密语,3
My Jinji,落日飞车,3
Mystery of Love,Sufjan Stevens,3
NEW BOY,朴树,3
NIGHT DANCER,imase,3
Nothing's Gonna Stop Us Now,Starship,3
"OH NO, OH YES!",中森明菜,3
Photograph,Arcade Fire; Ed Sheeran,3
Primetime-sexcrime (耶耶耶) (Radio Edit),Earphones / DJ KAI,3
Shattered Illusions,Amu音乐RnB,3
Someday or One Day,孙盛希,3
Summer,久石譲; 久石譲 / London Symphony Orchestra,3
THE LONELIEST,Måneskin,3
The Bird Song (with Em Beihold),Noah Floersch / Em Beihold,3
Wellerman,Nathan Evans; The Wellermen,3
Yellow,Coldplay,3
ZOEA,安溥 anpu,3
おどるポンポコリン,E-girls,3
一封家书,好妹妹乐队; 李春波,3
一荤一素,毛不易,3
不经意间 (Live),达达乐队,3
不要告别,张惠妹; 杨乃文,3
久违的事 (现场),老狼,3
乘客,王菲,3
二十一世纪的破青年,无妄合作社,3
亲密爱人,梅艳芳; 王若琳; 缪纪君 / 温和治疗(MILDCURE),3
亲爱的苏,子芙,3
他不喜欢你,蜷花仕女,3
仙儿,二手玫瑰,3
余额,孙燕姿,3
你快乐所以我快乐 (Live),王菲,3
你有時間嗎,水源,3
你朝我的方向走来,马念先 / 9m88,3
你的呼吸,张希,3
你的生日,郑智化,3
你要跳舞吗 (Live),新裤子,3
倒带,蔡依林,3
偿还,王菲,3
儿时,刘昊霖,3
光明之门,许巍,3
共同渡过,张国荣,3
再见 (Live),达达乐队,3
再遇见,苏打绿,3
别等了,新学校废物合唱团,3
化学心情下的爱情反应,达达乐队,3
北风,九连真人,3
十分钟的恋爱,ASOS,3
十分钟的恋爱(日),ASOS,3
千千万万,郑宜农,3
午夜飞船,彭坦,3
单恋高校,陈冠希,3
南方姑娘,赵雷,3
南海姑娘,王菲,3
去大理,郝云,3
又见炊烟,王菲,3
只有一个你的世界,霓虹花园,3
合起生财,明堂唱片 / SwagKelly / Major Yao,3
后来的事,陈楚生,3
听妈妈讲那过去的事情,谢冬生; 黑鸭子,3
呼吸决定,Fine乐团,3
和小葛去石家庄,刘森,3
喜欢,张悬,3
回家吃饭,庞龙,3
国际歌,唐朝乐队,3
圈,嘎调,3
圣诞结,陈奕迅,3
在劫难逃,叶蓓,3
在雨中,刘家昌 / 尤雅,3
复活（Live）,野外合作社,3
夏日最美的三十张拍立得相片,椅子乐团 The Chairs,3
多完美的一天,deca joins,3
大中国,高枫,3
大石碎胸口,万能青年旅店,3
大花轿,火风,3
天下没有不散的筵席,郑钧,3
天已经要光,郑宜农,3
太阳 (Live),萧敬腾,3
奇迹再现,毛华锋,3
奔跑,黄征 / 羽·泉,3
她在睡梦中,朴树,3
她的眼睛会下雨,胡歌,3
好心情,李玟,3
孔雀,彭坦; 蛙池,3
孤独的人是可耻的,张楚,3
学猫叫,小潘潘（潘柚彤） / 小峰峰（陈峰）,3
完美的一天,孙燕姿,3
寂寞寂寞就好 (Live),田馥甄,3
对等关系,李荣浩 / 张惠妹,3
小叮当,范晓萱,3
小唐,蛙池,3
小情歌,Caca & Chimneycrow,3
小星星,张震岳 / 阿里山桃花村姐妹,3
小男人 大男孩,萧敬腾,3
小题大做,王菲,3
少年,彭坦,3
尚好的青春,孙燕姿,3
巫堵,deca joins,3
带我去找夜生活,告五人,3
年轻的朋友来相会,张迈 / 佟铁鑫; 李谷一 / 韩东君; 鞠红川,3
广岛之恋,莫文蔚 / 张洪量; 莫文蔚;张洪量,3
建议是看开点,椅子乐团 The Chairs,3
当爱已成往事,张国荣; 李宗盛 / 林忆莲,3
彻夜长谈,崔开潮,3
彼岸花,王菲,3
忘了时间的钟,古巨基,3
恋愛サーキュレーション,花澤香菜,3
情歌而已 (Live),声音碎片乐队,3
惦惦的梦,椅子乐团 The Chairs,3
感情勒索,张震岳,3
慈城公园交谊舞,还潮,3
慢慢,张学友,3
成为彼此宇宙的终极浪漫,棱镜,3
成全,刘若英; 林宥嘉,3
成都,赵雷,3
我们,杨乃文; 陈奕迅,3
我到底是怕你什么,苏慧伦,3
我多想拥抱你,黑屋乐队,3
我常常有一种感觉,当代电影大师,3
我当你空气,旺福,3
我很快乐,刘惜君; 鹿小桃_--,3
我愿意,王菲; 陈晓东,3
我所有的夜有所梦里,ZaZaZsu,3
我期待,张雨生; 罗琦,3
"我说今晚月光那么美,你说是的",好妹妹,3
放学啦,花儿乐队,3
故乡的云,费翔; 韩寒 / 刘昊然 / 刘浩存 / 沈腾 / 乔杉 / 周奇 / 张宥浩 / 冯绍峰 / 黄晓明 / 吴彦姝 / 赵子琪,3
敢傻 就是我的本事 (Dare to Be You),卢广仲,3
旅行的意义(TRAVEL IS MEANINGFUL),陈绮贞,3
无人的海边,霓虹花园,3
无常,王菲,3
无问西东,王菲,3
无题II,麦田守望者,3
日光倾城,卡奇社,3
日落,孙燕姿; 火星电台,3
时间会给你答案,羽果,3
明天你依旧在我身旁,声音玩具,3
明天你是否依然爱我,童安格,3
明天更漫长,窦唯,3
明智之举,许嵩,3
星星堆满天,杨乃文,3
春之声 Single Edition,Quark; Quark夸克乐队,3
春夏秋冬,张国荣,3
春夏秋冬 A Balloon's Journey,张国荣,3
昨天今天明天,侯湘婷 / 吴克群; 赵本山,3
昨日青空,尤长靖; 赵英博 / 任敏 / 章若楠 / 辛云来 / 朱丹妮,3
時の流れに身をまかせ (Inst.Version),岡崎倫典,3
晚上好 春天小姐,五条人; 仁科,3
暗涌,王菲,3
最佳损友,陈奕迅,3
月亮失约了,陳華 / 菲道尔,3
月光光,任素汐,3
有些事现在不做 一辈子都不会做了,五月天,3
末路一对,KIAH,3
梦中人,王菲,3
梦中人(Live),王菲,3
梦游,王菲,3
梦醒了,翻糖乐队; 那英; 那英 / 王菲,3
歌,张艾嘉,3
此刻是不会再拥有的此刻了,房东的猫,3
此去南京三千里,七八点,3
"每一个明天 (Live In Hong Kong, 2013)",陈奕迅,3
永远,孙燕姿; 郭峰,3
污水塘,惘闻,3
没人在乎你,反光镜,3
泡沫,花儿乐队,3
流年,王菲,3
浪人的…,张震岳,3
深呼吸,羽·泉,3
清风徐来,王菲,3
漂流人间,Chinese Football,3
火车开往冬天,朴树,3
火车驶向云外，梦安魂于九霄,刺猬,3
烦恼歌,张学友,3
热爱105°C的你,腾格尔 / 艾伦 / 沈腾; 阿肆,3
焰火青年,刘森,3
爱你,王心凌,3
爱情不堪一击,张广天,3
爱是昂贵的,声音玩具,3
爱是永恒,张学友,3
爱疯了,戴佩妮,3
爱的代价,Carsick Cars; 李宗盛,3
父老乡亲,彭丽媛,3
独家记忆,春日玫瑰(Spring Roses); 陈小春,3
理想的太阳,柳爽,3
生命中最美丽的一天,痛仰乐队,3
生命是一次奇遇(Live),高旗&超载乐队,3
白日梦,红白色乐队; 草东没有派对,3
白鸽,伍佰 & China Blue,3
百变酒精,法老,3
眼泪,范晓萱,3
瞬间,达达; 达达乐队,3
离职,达闻西乐队,3
秋天冬天,张震岳,3
秋酿,房东的猫,3
秘密,张震岳,3
窗外,周迅; 李琛; 窦唯,3
笨蛋的holiday,TangoZ / 斯威特MCSWEET,3
等你爱我,陈奕迅; 陈明,3
纯真,五月天,3
结婚记,水仙斗活佛,3
结婚，美梦 feat.昶旸 @晨曦光廊,安娜其 / 晨曦光廊,3
结束时,岛屿心情,3
给 来自月球的L,椅子乐团 The Chairs,3
给你给我,毛不易,3
给自己的歌,李宗盛,3
美人,小安; 老狼,3
而我也无法摸到上游的风,刘森,3
而玫瑰是你 (URU),温和治疗(MILDCURE),3
胆小鬼,梁咏琪,3
自由自在,田震; 许巍,3
"花,太阳,彩虹,你",Mai / 法老 / 肯迪仔 / NoLabelCrew,3
花园 (Perfume),温和治疗(MILDCURE),3
苦瓜,陈奕迅,3
荒诞,达达乐队,3
莉莉安,宋冬野; 徐佳莹,3
落水天,九连真人,3
蓝天白云,张悬,3
薪想事成,明堂唱片 / Cee / 地磁卡,3
西风的话,陈绮贞,3
请坚信他曾经坚信的诗篇正在短波中消散,寸铁,3
踊り子,Vaundy,3
身边,无印良品,3
还是会寂寞,陈绮贞,3
这里会长出一朵花,旅行团,3
送你匕首,蛙池,3
送别,朴树; 陈绮贞,3
送流水(2021 Version),声音碎片乐队,3
逆流时光,安图声乐队,3
